epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,4809.27,0.69199,1.22636,0.65422,1.06604,0.8561,0.83212,0.87458,0.67374,0.87133,0.84672,0.87993,0.66585,0.78364,1.27358,0.76133,1.22086,0.000379743,0.000379743,0.000379743
41,4930.91,0.62014,1.14146,0.60992,1.01319,0.85741,0.83396,0.87786,0.67779,0.87993,0.85586,0.90031,0.67704,0.7729,1.24368,0.76403,1.19545,0.000346736,0.000346736,0.000346736
42,5052.24,0.62913,1.11451,0.58423,1.02287,0.83526,0.81419,0.87999,0.66565,0.85772,0.83608,0.89232,0.68036,0.81466,1.25395,0.72717,1.22857,0.000313729,0.000313729,0.000313729
43,5173.95,0.57501,1.06054,0.52156,1.00368,0.84288,0.78102,0.88413,0.70029,0.86936,0.77719,0.88163,0.69912,0.75748,1.23707,0.71012,1.17422,0.000280723,0.000280723,0.000280723
44,5294.05,0.55033,1.03285,0.46236,0.96207,0.83845,0.78832,0.87011,0.70813,0.91465,0.75182,0.87556,0.70003,0.71578,1.2021,0.68625,1.14425,0.000247716,0.000247716,0.000247716
45,5413.09,0.55638,0.97905,0.48201,0.97871,0.84809,0.81022,0.87414,0.72472,0.91425,0.76642,0.87903,0.71166,0.70368,1.20287,0.66244,1.13259,0.00021471,0.00021471,0.00021471
46,5532.12,0.54048,0.95643,0.48724,0.99022,0.83451,0.80978,0.88476,0.74446,0.83899,0.79562,0.88412,0.71617,0.69943,1.22277,0.66697,1.1343,0.000181703,0.000181703,0.000181703
47,5652.3,0.55404,1.02733,0.44563,0.98207,0.91031,0.73723,0.8863,0.73173,0.91031,0.73723,0.88251,0.70538,0.69791,1.20587,0.72084,1.14749,0.000148696,0.000148696,0.000148696
48,5771.76,0.55712,1.02189,0.46046,0.99866,0.91278,0.76388,0.88952,0.7352,0.9038,0.75435,0.88457,0.70959,0.68925,1.20394,0.71593,1.14307,0.00011569,0.00011569,0.00011569
49,5890.35,0.52184,0.96645,0.42669,0.96735,0.88941,0.7632,0.89151,0.74208,0.88941,0.7632,0.88752,0.71283,0.68057,1.20487,0.69656,1.13635,8.26832e-05,8.26832e-05,8.26832e-05
50,6009,0.51764,0.96717,0.4132,0.97644,0.89676,0.78832,0.90184,0.7535,0.89676,0.78832,0.89669,0.72158,0.67058,1.19726,0.65873,1.12514,4.96766e-05,4.96766e-05,4.96766e-05
