epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,194.189,0.64881,1.12703,0.54035,0.95011,0.7143,0.65767,0.70632,0.55117,0.69645,0.64313,0.67496,0.44663,0.81678,2.10205,0.85353,1.06133,0.000643795,0.000643795,0.000643795
64,197.223,0.66344,1.19002,0.54211,0.96574,0.77435,0.6546,0.74836,0.56031,0.73409,0.61011,0.66269,0.43763,0.84172,1.89524,0.80923,1.07263,0.000627292,0.000627292,0.000627292
65,200.146,0.643,1.11494,0.52216,0.94745,0.67805,0.7371,0.74912,0.56148,0.73608,0.60039,0.66048,0.43782,0.86733,1.99808,0.79056,1.09315,0.000610789,0.000610789,0.000610789
66,203.112,0.66485,1.18647,0.53191,0.96494,0.67144,0.75404,0.75362,0.57903,0.70787,0.66303,0.69151,0.46631,0.82271,1.9375,0.75856,1.06964,0.000594286,0.000594286,0.000594286
67,206.08,0.66034,1.16477,0.51939,0.95074,0.68443,0.73899,0.74087,0.56155,0.65932,0.71092,0.69176,0.46787,0.8556,1.89318,0.80195,1.09702,0.000577782,0.000577782,0.000577782
68,209.058,0.63093,1.11879,0.492,0.94558,0.7379,0.74561,0.77212,0.59186,0.68977,0.7176,0.70095,0.47372,0.80507,1.94193,0.74603,1.07578,0.000561279,0.000561279,0.000561279
69,212.09,0.63911,1.13983,0.51529,0.95751,0.61183,0.80832,0.74177,0.57174,0.69317,0.63035,0.66925,0.4576,0.81595,1.95827,0.79582,1.0869,0.000544776,0.000544776,0.000544776
70,215.014,0.6424,1.17608,0.51139,0.95028,0.69749,0.69682,0.72587,0.57397,0.67084,0.67374,0.65694,0.44248,0.80728,1.90221,0.77725,1.10153,0.000528272,0.000528272,0.000528272
71,217.928,0.60697,1.05983,0.46656,0.94778,0.73948,0.69961,0.74308,0.57325,0.70811,0.67478,0.65786,0.44067,0.78111,1.88034,0.78549,1.06546,0.000511769,0.000511769,0.000511769
72,220.835,0.6159,1.06748,0.47668,0.93345,0.74221,0.73386,0.73554,0.55746,0.7016,0.69247,0.66124,0.45223,0.80254,1.93307,0.76801,1.03577,0.000495266,0.000495266,0.000495266
73,223.918,0.63104,1.13231,0.48362,0.95147,0.77572,0.70052,0.74337,0.56555,0.73591,0.66543,0.68051,0.46859,0.80782,1.90681,0.75904,1.05296,0.000478762,0.000478762,0.000478762
74,226.815,0.63669,1.0844,0.5021,0.94781,0.7949,0.68821,0.74914,0.56974,0.75309,0.65568,0.68558,0.47015,0.80405,1.96731,0.76949,1.06421,0.000462259,0.000462259,0.000462259
75,229.738,0.6083,1.06902,0.48212,0.94046,0.76631,0.70221,0.73805,0.56425,0.74512,0.67738,0.68183,0.46492,0.81419,1.94019,0.766,1.10229,0.000445756,0.000445756,0.000445756
76,232.664,0.61419,1.10008,0.48221,0.93772,0.76821,0.69536,0.72236,0.54971,0.65516,0.71824,0.67247,0.45436,0.82578,1.88477,0.78017,1.09741,0.000429253,0.000429253,0.000429253
77,235.513,0.59409,1.07732,0.4493,0.93209,0.80473,0.61435,0.72883,0.54611,0.78504,0.61834,0.68391,0.45352,0.85512,1.8652,0.79175,1.1148,0.000412749,0.000412749,0.000412749
78,238.4,0.59042,1.0097,0.45005,0.92503,0.68452,0.75509,0.73549,0.56004,0.66425,0.73094,0.69575,0.46669,0.82453,1.83507,0.75369,1.10384,0.000396246,0.000396246,0.000396246
79,241.28,0.58516,0.99907,0.44705,0.93694,0.75663,0.70474,0.72729,0.56095,0.73761,0.68676,0.68187,0.46204,0.81896,1.8176,0.76972,1.11316,0.000379743,0.000379743,0.000379743
80,244.201,0.59567,1.04515,0.47485,0.92786,0.72281,0.72273,0.72489,0.5572,0.69149,0.68848,0.64899,0.44709,0.79706,1.84817,0.73664,1.09264,0.000363239,0.000363239,0.000363239
81,247.048,0.58666,0.98343,0.4619,0.93487,0.706,0.73666,0.73674,0.57742,0.676,0.73126,0.67258,0.46043,0.77178,1.81623,0.73963,1.05271,0.000346736,0.000346736,0.000346736
82,250.236,0.58039,1.01077,0.4475,0.93075,0.73752,0.73298,0.73462,0.57818,0.69446,0.70987,0.67321,0.45789,0.74874,1.89886,0.75627,1.0347,0.000330233,0.000330233,0.000330233
83,253.12,0.57988,1.0038,0.44799,0.91807,0.7202,0.72013,0.72548,0.56096,0.68295,0.69017,0.67497,0.46009,0.81095,1.98741,0.76786,1.0897,0.000313729,0.000313729,0.000313729
84,256.043,0.56992,1.02414,0.43179,0.91535,0.74507,0.70811,0.74759,0.57252,0.72792,0.67306,0.69095,0.46955,0.8229,2.00451,0.72989,1.08872,0.000297226,0.000297226,0.000297226
85,259.024,0.56408,0.98309,0.43192,0.90958,0.73198,0.71403,0.7403,0.57261,0.70515,0.68247,0.68363,0.47319,0.7849,1.99261,0.7308,1.04906,0.000280723,0.000280723,0.000280723
86,262.032,0.58617,1.01753,0.43707,0.91929,0.70139,0.73514,0.73388,0.58225,0.71081,0.68881,0.67553,0.47429,0.78577,1.93619,0.73745,1.07056,0.00026422,0.00026422,0.00026422
87,265.077,0.58742,1.03048,0.44594,0.92883,0.70092,0.741,0.73671,0.58696,0.67462,0.71265,0.67784,0.47438,0.76787,1.90059,0.74541,1.05018,0.000247716,0.000247716,0.000247716
88,268.067,0.56579,0.98529,0.42668,0.92411,0.67919,0.76157,0.75728,0.5885,0.76618,0.60945,0.69648,0.4777,0.77672,1.87574,0.75024,1.05251,0.000231213,0.000231213,0.000231213
89,271.031,0.54265,0.96125,0.40597,0.90691,0.71162,0.72785,0.75829,0.59474,0.68695,0.70046,0.69974,0.48034,0.77915,1.86734,0.73926,1.04342,0.00021471,0.00021471,0.00021471
90,274.131,0.55719,0.9688,0.41715,0.92181,0.80133,0.67757,0.76393,0.60005,0.78316,0.66387,0.71367,0.48334,0.76862,1.8725,0.72271,1.03324,0.000198206,0.000198206,0.000198206
91,278.668,0.53877,0.9778,0.42548,0.91112,0.77816,0.7023,0.76072,0.60337,0.75258,0.68176,0.70476,0.48234,0.76486,1.89572,0.71692,1.04524,0.000181703,0.000181703,0.000181703
92,281.776,0.53725,0.89919,0.39244,0.90392,0.70324,0.75437,0.75069,0.59432,0.71215,0.70731,0.68617,0.46605,0.77837,1.89806,0.7321,1.06179,0.0001652,0.0001652,0.0001652
93,284.673,0.51125,0.87758,0.37382,0.89051,0.75683,0.72338,0.75349,0.59522,0.72882,0.71192,0.69209,0.47511,0.76984,1.92994,0.70811,1.06051,0.000148696,0.000148696,0.000148696
94,287.581,0.5216,0.8693,0.39043,0.89901,0.76373,0.72259,0.75212,0.59592,0.73234,0.71135,0.69191,0.47072,0.76948,1.91557,0.69348,1.06342,0.000132193,0.000132193,0.000132193
95,290.519,0.50401,0.88879,0.36143,0.88231,0.76309,0.74229,0.75414,0.59494,0.72948,0.715,0.69248,0.47873,0.75526,1.95284,0.68967,1.06078,0.00011569,0.00011569,0.00011569
96,293.474,0.5031,0.85838,0.36321,0.89332,0.73532,0.7424,0.74624,0.58366,0.70733,0.71756,0.69178,0.47281,0.7509,2.03374,0.683,1.06736,9.91865e-05,9.91865e-05,9.91865e-05
97,296.448,0.51711,0.89352,0.36797,0.89765,0.74712,0.73195,0.7462,0.57987,0.72063,0.70736,0.69058,0.47225,0.76708,2.05092,0.68237,1.08556,8.26832e-05,8.26832e-05,8.26832e-05
98,299.379,0.4994,0.84064,0.35426,0.89365,0.7451,0.72613,0.74679,0.57989,0.71851,0.7013,0.69324,0.47151,0.76253,2.0498,0.68813,1.07268,6.61799e-05,6.61799e-05,6.61799e-05
99,302.278,0.50972,0.85826,0.38539,0.90034,0.74888,0.72613,0.74651,0.58088,0.72922,0.70815,0.69912,0.47453,0.76563,2.04945,0.68634,1.07352,4.96766e-05,4.96766e-05,4.96766e-05
100,305.213,0.52756,0.90709,0.37102,0.93525,0.75623,0.73042,0.75065,0.58453,0.73137,0.70815,0.70028,0.47518,0.75761,2.03084,0.68404,1.06764,3.31733e-05,3.31733e-05,3.31733e-05
