left;top;right;bottom
1235709,497;5882647,316;1235837,497;5882519,316
1235709,497;5882519,316;1235837,497;5882391,316
1235709,497;5882391,316;1235837,497;5882263,316
1235709,497;5882263,316;1235837,497;5882135,316
1235709,497;5882135,316;1235837,497;5882007,316
1235709,497;5882007,316;1235837,497;5881879,316
1235709,497;5881879,316;1235837,497;5881751,316
1235709,497;5881751,316;1235837,497;5881623,316
1235709,497;5881623,316;1235837,497;5881495,316
1235709,497;5881495,316;1235837,497;5881367,316
1235709,497;5881367,316;1235837,497;5881239,316
1235709,497;5881239,316;1235837,497;5881111,316
1235709,497;5881111,316;1235837,497;5880983,316
1235709,497;5880983,316;1235837,497;5880855,316
1235709,497;5880855,316;1235837,497;5880727,316
1235709,497;5880727,316;1235837,497;5880599,316
1235709,497;5880599,316;1235837,497;5880471,316
1235709,497;5880471,316;1235837,497;5880343,316
1235709,497;5880343,316;1235837,497;5880215,316
1235709,497;5880215,316;1235837,497;5880087,316
1235709,497;5880087,316;1235837,497;5879959,316
1235709,497;5879959,316;1235837,497;5879831,316
1235709,497;5879831,316;1235837,497;5879703,316
1235709,497;5879703,316;1235837,497;5879575,316
1235709,497;5879575,316;1235837,497;5879447,316
1235709,497;5879447,316;1235837,497;5879319,316
1235709,497;5879319,316;1235837,497;5879191,316
1235709,497;5879191,316;1235837,497;5879063,316
1235837,497;5882647,316;1235965,497;5882519,316
1235837,497;5882519,316;1235965,497;5882391,316
1235837,497;5882391,316;1235965,497;5882263,316
1235837,497;5882263,316;1235965,497;5882135,316
1235837,497;5882135,316;1235965,497;5882007,316
1235837,497;5882007,316;1235965,497;5881879,316
1235837,497;5881879,316;1235965,497;5881751,316
1235837,497;5881751,316;1235965,497;5881623,316
1235837,497;5881623,316;1235965,497;5881495,316
1235837,497;5881495,316;1235965,497;5881367,316
1235837,497;5881367,316;1235965,497;5881239,316
1235837,497;5881239,316;1235965,497;5881111,316
1235837,497;5881111,316;1235965,497;5880983,316
1235837,497;5880983,316;1235965,497;5880855,316
1235837,497;5880855,316;1235965,497;5880727,316
1235837,497;5880727,316;1235965,497;5880599,316
1235837,497;5880599,316;1235965,497;5880471,316
1235837,497;5880471,316;1235965,497;5880343,316
1235837,497;5880343,316;1235965,497;5880215,316
1235837,497;5880215,316;1235965,497;5880087,316
1235837,497;5880087,316;1235965,497;5879959,316
1235837,497;5879959,316;1235965,497;5879831,316
1235837,497;5879831,316;1235965,497;5879703,316
1235837,497;5879703,316;1235965,497;5879575,316
1235837,497;5879575,316;1235965,497;5879447,316
1235837,497;5879447,316;1235965,497;5879319,316
1235837,497;5879319,316;1235965,497;5879191,316
1235837,497;5879191,316;1235965,497;5879063,316
1235837,497;5879063,316;1235965,497;5878935,316
1235965,497;5882519,316;1236093,497;5882391,316
1235965,497;5882391,316;1236093,497;5882263,316
1235965,497;5882263,316;1236093,497;5882135,316
1235965,497;5882135,316;1236093,497;5882007,316
1235965,497;5882007,316;1236093,497;5881879,316
1235965,497;5881879,316;1236093,497;5881751,316
1235965,497;5881751,316;1236093,497;5881623,316
1235965,497;5881623,316;1236093,497;5881495,316
1235965,497;5881495,316;1236093,497;5881367,316
1235965,497;5881367,316;1236093,497;5881239,316
1235965,497;5881239,316;1236093,497;5881111,316
1235965,497;5881111,316;1236093,497;5880983,316
1235965,497;5880983,316;1236093,497;5880855,316
1235965,497;5880855,316;1236093,497;5880727,316
1235965,497;5880727,316;1236093,497;5880599,316
1235965,497;5880599,316;1236093,497;5880471,316
1235965,497;5880471,316;1236093,497;5880343,316
1235965,497;5880343,316;1236093,497;5880215,316
1235965,497;5880215,316;1236093,497;5880087,316
1235965,497;5880087,316;1236093,497;5879959,316
1235965,497;5879959,316;1236093,497;5879831,316
1235965,497;5879831,316;1236093,497;5879703,316
1235965,497;5879703,316;1236093,497;5879575,316
1235965,497;5879575,316;1236093,497;5879447,316
1235965,497;5879447,316;1236093,497;5879319,316
1235965,497;5879319,316;1236093,497;5879191,316
1235965,497;5879191,316;1236093,497;5879063,316
1235965,497;5879063,316;1236093,497;5878935,316
1235965,497;5878935,316;1236093,497;5878807,316
1236093,497;5882519,316;1236221,497;5882391,316
1236093,497;5882391,316;1236221,497;5882263,316
1236093,497;5882263,316;1236221,497;5882135,316
1236093,497;5882135,316;1236221,497;5882007,316
1236093,497;5882007,316;1236221,497;5881879,316
1236093,497;5881879,316;1236221,497;5881751,316
1236093,497;5881751,316;1236221,497;5881623,316
1236093,497;5881623,316;1236221,497;5881495,316
1236093,497;5881495,316;1236221,497;5881367,316
1236093,497;5881367,316;1236221,497;5881239,316
1236093,497;5881239,316;1236221,497;5881111,316
1236093,497;5881111,316;1236221,497;5880983,316
1236093,497;5880983,316;1236221,497;5880855,316
1236093,497;5880855,316;1236221,497;5880727,316
1236093,497;5880727,316;1236221,497;5880599,316
1236093,497;5880599,316;1236221,497;5880471,316
1236093,497;5880471,316;1236221,497;5880343,316
1236093,497;5880343,316;1236221,497;5880215,316
1236093,497;5880215,316;1236221,497;5880087,316
1236093,497;5880087,316;1236221,497;5879959,316
1236093,497;5879959,316;1236221,497;5879831,316
1236093,497;5879831,316;1236221,497;5879703,316
