epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,212.921,0.74097,1.33151,0.60265,1.05289,0.74476,0.73555,0.73973,0.54726,0.76465,0.62484,0.64789,0.41827,0.88207,1.98052,0.86953,1.30186,0.000709809,0.000709809,0.000709809
60,216.457,0.71723,1.20754,0.59476,1.02488,0.74922,0.68254,0.71362,0.52437,0.7082,0.6483,0.6644,0.4219,0.92764,1.90968,0.87694,1.30589,0.000693305,0.000693305,0.000693305
61,220.168,0.6781,1.28758,0.58065,1.0028,0.74541,0.69899,0.72427,0.53053,0.72554,0.63291,0.65876,0.42393,0.90823,1.94203,0.90837,1.2935,0.000676802,0.000676802,0.000676802
62,223.656,0.6325,1.0972,0.49248,0.97462,0.61162,0.6902,0.66905,0.49915,0.61067,0.68591,0.6339,0.41519,0.88815,1.89284,0.93059,1.31174,0.000660299,0.000660299,0.000660299
63,227.129,0.70147,1.20449,0.64407,1.02754,0.66169,0.69533,0.68181,0.51135,0.65586,0.68591,0.64427,0.42026,0.87366,1.79471,0.83528,1.2742,0.000643795,0.000643795,0.000643795
64,230.638,0.71971,1.29306,0.56043,0.99996,0.62335,0.72292,0.67164,0.51195,0.62836,0.67512,0.64808,0.41389,0.8726,1.88961,0.96,1.29451,0.000627292,0.000627292,0.000627292
65,234.124,0.67084,1.18682,0.53519,1.00402,0.61539,0.6838,0.63197,0.47979,0.65276,0.59827,0.61206,0.39484,0.89697,2.0451,1.10687,1.28996,0.000610789,0.000610789,0.000610789
66,237.766,0.69271,1.23938,0.57906,1.00977,0.72056,0.63632,0.65216,0.50032,0.71092,0.62775,0.63162,0.41837,0.88573,1.95608,0.96943,1.26843,0.000594286,0.000594286,0.000594286
67,241.284,0.69682,1.26423,0.58723,1.0397,0.71037,0.67588,0.71293,0.54069,0.75232,0.63408,0.68233,0.43998,0.90191,1.80747,0.8376,1.26559,0.000577782,0.000577782,0.000577782
68,244.844,0.68426,1.23266,0.58584,1.02725,0.72012,0.7039,0.70196,0.53945,0.69793,0.68335,0.66395,0.44949,0.87904,1.76439,0.78569,1.29455,0.000561279,0.000561279,0.000561279
69,248.352,0.65253,1.23737,0.56179,1.00508,0.7079,0.73386,0.69297,0.53988,0.72155,0.64658,0.65647,0.44686,0.85401,1.75074,0.80637,1.27623,0.000544776,0.000544776,0.000544776
70,251.821,0.62863,1.0803,0.49699,0.99568,0.65702,0.73522,0.67589,0.51566,0.66889,0.64791,0.63875,0.4333,0.83289,1.7556,0.82068,1.24079,0.000528272,0.000528272,0.000528272
71,255.502,0.65237,1.2578,0.54895,1.02969,0.73325,0.73678,0.72836,0.55917,0.67705,0.7039,0.67302,0.46049,0.81746,1.80415,0.74757,1.22784,0.000511769,0.000511769,0.000511769
72,259.119,0.64428,1.14391,0.51684,0.99348,0.75817,0.71695,0.75129,0.57438,0.75358,0.65571,0.68698,0.46842,0.79775,1.84365,0.72536,1.22808,0.000495266,0.000495266,0.000495266
73,262.678,0.62443,1.08766,0.47675,0.97899,0.7163,0.74215,0.74134,0.57125,0.75276,0.65654,0.69269,0.47578,0.79913,1.78975,0.73088,1.21912,0.000478762,0.000478762,0.000478762
74,266.269,0.62125,1.13288,0.47116,0.9593,0.7163,0.78856,0.72832,0.55779,0.70937,0.69789,0.67977,0.46652,0.84381,1.86731,0.77611,1.25153,0.000462259,0.000462259,0.000462259
75,269.667,0.61498,1.11836,0.47135,0.97822,0.70108,0.75184,0.71719,0.54781,0.69123,0.72628,0.68681,0.47275,0.85623,1.87698,0.81392,1.25739,0.000445756,0.000445756,0.000445756
76,273.118,0.60123,0.99883,0.45767,0.95843,0.71416,0.71247,0.70476,0.53918,0.68813,0.68764,0.66876,0.45842,0.87793,1.90606,0.8484,1.28125,0.000429253,0.000429253,0.000429253
77,276.746,0.60889,1.03797,0.47307,0.95749,0.73584,0.73555,0.72423,0.55677,0.70111,0.70386,0.67938,0.46372,0.87415,1.91408,0.76157,1.27245,0.000412749,0.000412749,0.000412749
78,280.249,0.60366,1.13148,0.45083,0.9743,0.77875,0.70799,0.72794,0.55717,0.75126,0.65595,0.67664,0.46506,0.8945,1.96206,0.75065,1.30073,0.000396246,0.000396246,0.000396246
79,283.731,0.62636,1.13344,0.46167,0.95595,0.65524,0.78098,0.7156,0.54991,0.65819,0.72273,0.66487,0.45228,0.88877,2.03378,0.83196,1.33291,0.000379743,0.000379743,0.000379743
80,287.286,0.58364,1.04125,0.46523,0.95002,0.66496,0.76723,0.70489,0.55192,0.62652,0.74201,0.65523,0.45579,0.81959,2.03695,0.79831,1.26874,0.000363239,0.000363239,0.000363239
81,290.756,0.59726,1.0739,0.45198,0.95964,0.74584,0.68163,0.69452,0.55616,0.67595,0.69466,0.67108,0.45736,0.82432,1.95089,0.78488,1.26982,0.000346736,0.000346736,0.000346736
82,294.393,0.58358,0.96255,0.43541,0.94291,0.71218,0.69577,0.6965,0.55254,0.69993,0.65595,0.66648,0.45816,0.82173,1.91434,0.82696,1.25591,0.000330233,0.000330233,0.000330233
83,297.822,0.58665,1.00084,0.45764,0.94623,0.73788,0.69961,0.71132,0.56743,0.69282,0.6628,0.67909,0.46802,0.79945,1.946,0.7991,1.22969,0.000313729,0.000313729,0.000313729
84,301.297,0.58601,1.02775,0.43674,0.94926,0.71832,0.70818,0.70551,0.55486,0.69561,0.67137,0.67347,0.46058,0.76488,1.86233,0.76525,1.19458,0.000297226,0.000297226,0.000297226
85,304.81,0.60668,1.05763,0.44225,0.97964,0.73989,0.72188,0.70338,0.55264,0.69427,0.6902,0.67217,0.45824,0.76592,1.87901,0.74747,1.21369,0.000280723,0.000280723,0.000280723
86,308.265,0.54568,0.93595,0.42016,0.93218,0.73324,0.73983,0.72838,0.56965,0.67934,0.68676,0.67074,0.46483,0.78981,1.85191,0.70738,1.23557,0.00026422,0.00026422,0.00026422
87,311.921,0.56801,1.02895,0.43618,0.95662,0.74469,0.68463,0.72731,0.57307,0.65021,0.69364,0.66985,0.46174,0.80743,1.87736,0.75562,1.25001,0.000247716,0.000247716,0.000247716
88,315.402,0.5674,0.99111,0.43262,0.94517,0.69945,0.76551,0.72226,0.56588,0.67111,0.72929,0.67773,0.46914,0.86207,1.8227,0.7844,1.30856,0.000231213,0.000231213,0.000231213
89,318.812,0.54922,0.94429,0.41288,0.93485,0.73926,0.75272,0.73048,0.56844,0.72656,0.67738,0.67523,0.47337,0.83984,1.8193,0.77233,1.29162,0.00021471,0.00021471,0.00021471
90,322.271,0.55016,0.93954,0.42339,0.9361,0.74267,0.74327,0.73276,0.58023,0.67848,0.71672,0.67384,0.47096,0.79711,1.86837,0.74369,1.24517,0.000198206,0.000198206,0.000198206
91,326.647,0.54282,0.96462,0.40321,0.95935,0.70282,0.74584,0.72245,0.57701,0.68094,0.72273,0.67444,0.46272,0.79454,1.93456,0.77447,1.23593,0.000181703,0.000181703,0.000181703
92,330.29,0.562,0.94803,0.42746,0.9604,0.69008,0.72532,0.70112,0.5681,0.66385,0.69984,0.65096,0.45722,0.78929,1.99591,0.78367,1.25662,0.0001652,0.0001652,0.0001652
93,333.702,0.53157,0.90846,0.36998,0.92763,0.67395,0.75249,0.70216,0.56702,0.64336,0.71515,0.65365,0.45883,0.78567,2.00568,0.76406,1.26187,0.000148696,0.000148696,0.000148696
94,337.124,0.51381,0.89615,0.37471,0.90887,0.69879,0.72016,0.69432,0.57069,0.6805,0.69961,0.65632,0.46034,0.80067,1.93084,0.75172,1.26542,0.000132193,0.000132193,0.000132193
95,340.516,0.53466,0.99804,0.39217,0.94241,0.71248,0.72902,0.6976,0.5687,0.67847,0.69961,0.65971,0.45835,0.80006,1.90964,0.74911,1.2634,0.00011569,0.00011569,0.00011569
96,344.018,0.53847,0.94627,0.37189,0.93592,0.71596,0.72559,0.70638,0.57348,0.7055,0.68591,0.66518,0.45985,0.80717,1.92411,0.76473,1.25782,9.91865e-05,9.91865e-05,9.91865e-05
97,347.398,0.52237,0.8543,0.36921,0.9358,0.7203,0.72942,0.71481,0.57611,0.70934,0.67907,0.66622,0.46131,0.79418,1.89781,0.76791,1.25032,8.26832e-05,8.26832e-05,8.26832e-05
98,351.018,0.50367,0.90138,0.35464,0.91886,0.72655,0.71864,0.71662,0.57964,0.70195,0.66024,0.66591,0.4632,0.79589,1.88285,0.76859,1.24257,6.61799e-05,6.61799e-05,6.61799e-05
99,354.469,0.52032,0.90232,0.37407,0.91267,0.7364,0.69533,0.71349,0.57804,0.70984,0.66323,0.66862,0.4648,0.79281,1.88326,0.76591,1.23843,4.96766e-05,4.96766e-05,4.96766e-05
100,357.868,0.49261,0.87846,0.37249,0.92548,0.67917,0.76934,0.71311,0.58331,0.65434,0.7458,0.67018,0.46837,0.80372,1.88814,0.77375,1.25743,3.31733e-05,3.31733e-05,3.31733e-05
